import time: self [us] | cumulative | imported package
import time:       202 |        202 | winreg
import time:       190 |        190 |   _io
import time:        36 |         36 |   marshal
import time:       141 |        141 |   nt
import time:       751 |       1116 | _frozen_importlib_external
import time:       300 |        300 |   time
import time:       199 |        499 | zipimport
import time:        75 |         75 |     _codecs
import time:       558 |        633 |   codecs
import time:      1682 |       1682 |   encodings.aliases
import time:      2478 |       4792 | encodings
import time:       803 |        803 | encodings.utf_8
import time:       800 |        800 | encodings.cp1252
import time:        70 |         70 | _signal
import time:        48 |         48 |     _abc
import time:       208 |        256 |   abc
import time:       205 |        460 | io
import time:        66 |         66 |       _stat
import time:       146 |        211 |     stat
import time:      1021 |       1021 |     _collections_abc
import time:        78 |         78 |       genericpath
import time:       154 |        154 |       _winapi
import time:       222 |        453 |     ntpath
import time:       507 |       2191 |   os
import time:       115 |        115 |   _sitebuiltins
import time:       582 |        582 |   sitecustomize
import time:       183 |        183 |   usercustomize
import time:       778 |       3847 | site
import time:       131 |        131 |     itertools
import time:       689 |        689 |     keyword
import time:        74 |         74 |       _operator
import time:       851 |        925 |     operator
import time:       861 |        861 |     reprlib
import time:       123 |        123 |     _collections
import time:      2120 |       4846 |   collections
import time:      1138 |       1138 |   collections.abc
import time:       889 |        889 |   copyreg
import time:      1434 |       1434 |     types
import time:        74 |         74 |     _functools
import time:      1447 |       2954 |   functools
import time:        39 |         39 |   _typing
import time:      3263 |      13127 | typing
