import time: self [us] | cumulative | imported package
import time:       137 |        137 | winreg
import time:       234 |        234 |   _io
import time:        39 |         39 |   marshal
import time:       196 |        196 |   nt
import time:       725 |       1194 | _frozen_importlib_external
import time:       485 |        485 |   time
import time:       395 |        879 | zipimport
import time:        54 |         54 |     _codecs
import time:       410 |        464 |   codecs
import time:      1625 |       1625 |   encodings.aliases
import time:      5027 |       7115 | encodings
import time:       941 |        941 | encodings.utf_8
import time:       922 |        922 | encodings.cp1252
import time:        52 |         52 | _signal
import time:        44 |         44 |     _abc
import time:       195 |        238 |   abc
import time:       333 |        570 | io
import time:        63 |         63 |       _stat
import time:       136 |        199 |     stat
import time:       864 |        864 |     _collections_abc
import time:        68 |         68 |       genericpath
import time:       130 |        130 |       _winapi
import time:       193 |        390 |     ntpath
import time:       424 |       1876 |   os
import time:        95 |         95 |   _sitebuiltins
import time:       518 |        518 |   sitecustomize
import time:       181 |        181 |   usercustomize
import time:       718 |       3386 | site
import time:       942 |        942 |   email
import time:        87 |         87 |   binascii
import time:      1370 |       1370 |       types
import time:      2283 |       3653 |     enum
import time:        81 |         81 |       _sre
import time:       792 |        792 |         re._constants
import time:       865 |       1656 |       re._parser
import time:       663 |        663 |       re._casefix
import time:      1212 |       3610 |     re._compiler
import time:       126 |        126 |         itertools
import time:       678 |        678 |         keyword
import time:        76 |         76 |           _operator
import time:       871 |        946 |         operator
import time:       724 |        724 |         reprlib
import time:        76 |         76 |         _collections
import time:      1467 |       4016 |       collections
import time:        54 |         54 |       _functools
import time:      1185 |       5255 |     functools
import time:       968 |        968 |     copyreg
import time:      1589 |      15074 |   re
import time:       705 |        705 |   quopri
import time:       220 |        220 |       _datetime
import time:       644 |        864 |     datetime
import time:       668 |        668 |       urllib
import time:        70 |         70 |       math
import time:       800 |        800 |       warnings
import time:      2288 |       2288 |       ipaddress
import time:      1564 |       5388 |     urllib.parse
import time:        77 |         77 |           _locale
import time:      1333 |       1409 |         locale
import time:      1391 |       2800 |       calendar
import time:       880 |       3679 |     email._parseaddr
import time:       993 |      10922 |   email.utils
import time:       883 |        883 |   email.errors
import time:        46 |         46 |           _string
import time:      1075 |       1121 |         string
import time:       691 |       1812 |       email.quoprimime
import time:        76 |         76 |             _struct
import time:       660 |        736 |           struct
import time:       828 |       1564 |         base64
import time:       783 |       2346 |       email.base64mime
import time:       592 |        592 |         email.encoders
import time:       730 |       1321 |       email.charset
import time:      1033 |       6512 |     email.header
import time:       855 |       7366 |   email._policybase
import time:       793 |        793 |   email._encoded_words
import time:       720 |        720 |   email.iterators
import time:      1322 |      38810 | email.message
