import time: self [us] | cumulative | imported package
import time:       110 |        110 | winreg
import time:       205 |        205 |   _io
import time:        46 |         46 |   marshal
import time:       160 |        160 |   nt
import time:       698 |       1107 | _frozen_importlib_external
import time:       350 |        350 |   time
import time:       234 |        584 | zipimport
import time:        57 |         57 |     _codecs
import time:       417 |        474 |   codecs
import time:      1264 |       1264 |   encodings.aliases
import time:      2341 |       4078 | encodings
import time:       963 |        963 | encodings.utf_8
import time:       989 |        989 | encodings.cp1252
import time:        66 |         66 | _signal
import time:        36 |         36 |     _abc
import time:       167 |        203 |   abc
import time:       162 |        364 | io
import time:        56 |         56 |       _stat
import time:        97 |        152 |     stat
import time:       948 |        948 |     _collections_abc
import time:        77 |         77 |       genericpath
import time:       201 |        201 |       _winapi
import time:       235 |        512 |     ntpath
import time:       487 |       2098 |   os
import time:       117 |        117 |   _sitebuiltins
import time:       556 |        556 |   sitecustomize
import time:       194 |        194 |   usercustomize
import time:       767 |       3730 | site
import time:       826 |        826 |   email
import time:       258 |        258 |   binascii
import time:       165 |        165 |       itertools
import time:       954 |        954 |       keyword
import time:       163 |        163 |         _operator
import time:      1053 |       1215 |       operator
import time:       966 |        966 |       reprlib
import time:        77 |         77 |       _collections
import time:      1542 |       4916 |     collections
import time:        55 |         55 |     _functools
import time:      1377 |       6348 |   functools
import time:       994 |        994 |   quopri
import time:      1089 |       1089 |       warnings
import time:        69 |         69 |       math
import time:        45 |         45 |         _bisect
import time:       901 |        946 |       bisect
import time:        39 |         39 |       _random
import time:       236 |        236 |       _sha512
import time:      5926 |       5926 |         _hashlib
import time:        72 |         72 |         _blake2
import time:      1018 |       7015 |       hashlib
import time:      1464 |      10856 |     random
import time:      2035 |       2035 |       _socket
import time:       735 |        735 |         collections.abc
import time:       586 |        586 |         select
import time:      1363 |       2683 |       selectors
import time:       798 |        798 |         types
import time:      1707 |       2504 |       enum
import time:       146 |        146 |       errno
import time:      2131 |       9497 |     socket
import time:       120 |        120 |       _datetime
import time:       988 |       1107 |     datetime
import time:       663 |        663 |       urllib
import time:        74 |         74 |           _sre
import time:       809 |        809 |             re._constants
import time:      1548 |       2356 |           re._parser
import time:       589 |        589 |           re._casefix
import time:       860 |       3877 |         re._compiler
import time:       726 |        726 |         copyreg
import time:      1057 |       5659 |       re
import time:      1612 |       1612 |       ipaddress
import time:      1638 |       9570 |     urllib.parse
import time:        72 |         72 |           _locale
import time:      1410 |       1481 |         locale
import time:      1357 |       2838 |       calendar
import time:       827 |       3665 |     email._parseaddr
import time:        73 |         73 |             _struct
import time:       643 |        716 |           struct
import time:       770 |       1485 |         base64
import time:       592 |       2077 |       email.base64mime
import time:        50 |         50 |           _string
import time:      1541 |       1590 |         string
import time:       691 |       2281 |       email.quoprimime
import time:      1153 |       1153 |       email.errors
import time:       849 |        849 |       email.encoders
import time:       847 |       7206 |     email.charset
import time:     19602 |      61499 |   email.utils
import time:      1408 |       1408 |     email.header
import time:      1021 |       2428 |   email._policybase
import time:     13385 |      13385 |   email._encoded_words
import time:       910 |        910 |   email.iterators
import time:     21140 |     107783 | email.message
